date,symbol,price,Daily_Change_%,Weekly_Change_7d_%,Monthly_Change_30d_%
2025-11-10,AAPL,269.42999267578125,,,
2025-11-11,AAPL,275.25,2.1601185771556786,,
2025-11-12,AAPL,273.4700012207031,-0.6466843884820661,,
2025-11-13,AAPL,272.95001220703125,-0.19014480979659965,,
2025-11-14,AAPL,272.4100036621094,-0.19784155368063328,,
2025-11-15,AAPL,272.4100036621094,0.0,,
2025-11-16,AAPL,272.4100036621094,0.0,,
2025-11-17,AAPL,267.4599914550781,-1.8171183658773127,-0.7311736904783706,
2025-11-18,AAPL,267.44000244140625,-0.007473646268785217,-2.8374196398160745,
2025-11-19,AAPL,268.5599975585937,0.4187836924032462,-1.79544507265601,
2025-11-20,AAPL,266.25,-0.8601420835542384,-2.454666388492166,
2025-11-21,AAPL,271.489990234375,1.9680714495305063,-0.33773114620105904,
2025-11-22,AAPL,271.489990234375,0.0,-0.33773114620105904,
2025-11-23,AAPL,271.489990234375,0.0,-0.33773114620105904,
2025-11-24,AAPL,275.9200134277344,1.6317445772254802,3.16309812418325,
2025-11-25,AAPL,276.9700012207031,0.3805406428931457,3.563415604359643,
2025-11-26,AAPL,277.54998779296875,0.20940411225383038,3.3474792657508967,
2025-11-27,AAPL,277.54998779296875,0.0,4.244126870598586,
2025-11-28,AAPL,278.8500061035156,0.4683906927485104,2.7109713558082893,
2025-11-29,AAPL,278.8500061035156,0.0,2.7109713558082893,
2025-11-30,AAPL,278.8500061035156,0.0,2.7109713558082893,
2025-12-01,AAPL,283.1000061035156,1.5241168753721723,2.6022007561483873,
2025-12-02,AAPL,286.19000244140625,1.0914857899228636,3.3288808102203804,
2025-12-03,AAPL,284.1499938964844,-0.712816145749029,2.377952222588009,
2025-12-04,AAPL,280.70001220703125,-1.214141039436356,1.1349394893190201,
2025-12-05,AAPL,278.7799987792969,-0.684009028940924,-0.025105728056806775,
2025-12-06,AAPL,278.7799987792969,0.0,-0.025105728056806775,
2025-12-07,AAPL,278.7799987792969,0.0,-0.025105728056806775,
2025-12-08,AAPL,277.8900146484375,-0.319242461710445,-1.8403360447731942,
2025-12-09,AAPL,277.17999267578125,-0.2555046727945598,-3.1482615356103083,
