date,symbol,forecast,ci_lower,ci_upper
2025-12-11,CL=F,58.543924606401184,57.12612856981512,59.961720642987245
2025-12-12,CL=F,58.768507812790325,57.06806720014916,60.46894842543149
2025-12-13,CL=F,58.911016753885555,57.09661712158675,60.72541638618436
2025-12-14,CL=F,59.00144559145809,57.13535027699606,60.86754090592013
2025-12-15,CL=F,59.05882707645036,57.1674467653926,60.95020738750813
2025-12-16,CL=F,59.0952384127929,57.19070351351773,60.99977331206807
2025-12-17,CL=F,59.11834317235826,57.20659667716409,61.030089667552424
2025-12-18,CL=F,59.133004263331436,57.21713195711643,61.048876569546444
2025-12-19,CL=F,59.142307436901184,57.223995859280194,61.060619014522175
2025-12-20,CL=F,59.14821075191554,57.22842173814357,61.06799976568752
2025-12-21,CL=F,59.15195669171742,57.23125717073768,61.07265621269717
2025-12-22,CL=F,59.15433367227245,57.23306596639609,61.07560137814881
2025-12-23,CL=F,59.155841981764276,57.23421630945943,61.077467654069125
2025-12-24,CL=F,59.1567990773191,57.234946016379304,61.078652138258896
2025-12-25,CL=F,59.15740640088634,57.23540767613433,61.079405125638345
2025-12-26,CL=F,59.15779177715672,57.23569879086395,61.079884763449485
2025-12-27,CL=F,59.1580363170985,57.23588150287551,61.08019113132149
2025-12-28,CL=F,59.158191489556486,57.235995354161055,61.08038762495192
2025-12-29,CL=F,59.15828995400995,57.236065480195165,61.08051442782474
2025-12-30,CL=F,59.15835243448311,57.23610784844053,61.080597020525694
2025-12-31,CL=F,59.15839208137485,57.23613259819062,61.080651564559076
2026-01-01,CL=F,59.1584172392513,57.23614616620546,61.08068831229714
2026-01-02,CL=F,59.158433203144554,57.236152638085095,61.08071376820401
2026-01-03,CL=F,59.15844333300938,57.23615460681034,61.08073205920842
2026-01-04,CL=F,59.158449760900105,57.23615371794281,61.0807458038574
2026-01-05,CL=F,59.15845383970865,57.23615101574787,61.080756663669426
2026-01-06,CL=F,59.15845642791057,57.23614716289364,61.08076569292751
2026-01-07,CL=F,59.15845807025027,57.236142579887826,61.08077356061271
2026-01-08,CL=F,59.158459112394496,57.236137533568176,61.080780691220816
2026-01-09,CL=F,59.15845977368557,57.23613219325831,61.080787354112836
