date,symbol,price,Daily_Change_%,Weekly_Change_7d_%,Monthly_Change_30d_%
2025-11-11,ETHEREUM,3564.610595799933,,,
2025-11-12,ETHEREUM,3416.781328259322,-4.147136512324612,,
2025-11-13,ETHEREUM,3409.6144555411624,-0.20975508906244666,,
2025-11-14,ETHEREUM,3235.7276362968546,-5.099896821522276,,
2025-11-15,ETHEREUM,3106.601287865052,-3.9906433095086347,,
2025-11-16,ETHEREUM,3170.1129807404664,2.044410820387621,,
2025-11-17,ETHEREUM,3101.686799467,-2.1584776848389664,,
2025-11-18,ETHEREUM,3021.302157630133,-2.5916427748501447,-15.241733243175648,
2025-11-19,ETHEREUM,3117.2225871583155,3.1748042573610524,-8.76727868486733,
2025-11-20,ETHEREUM,3017.7483614097955,-3.1911171874062894,-11.492973743542256,
2025-11-21,ETHEREUM,2832.068358334293,-6.1529319491953505,-12.475069701000285,
2025-11-22,ETHEREUM,2764.735218675169,-2.3775252267825397,-11.004504199662634,
2025-11-23,ETHEREUM,2768.6178294996357,0.1404333694684512,-12.665010795515885,
2025-11-24,ETHEREUM,2799.814934092464,1.1268115180225635,-9.732506371256132,
2025-11-25,ETHEREUM,2953.327645752226,5.482959241001484,-2.2498415693458895,
2025-11-26,ETHEREUM,2955.046469321271,0.058199555728855046,-5.20258381628389,
2025-11-27,ETHEREUM,3027.477249132549,2.4510876753797373,0.32238896546723517,
2025-11-28,ETHEREUM,3015.6118196920934,-0.3919246443174873,6.480897991662649,
2025-11-29,ETHEREUM,3033.135645414151,0.5811034963991712,9.707997529962253,
2025-11-30,ETHEREUM,2991.2330117032598,-1.3814955415609065,8.040661294298479,
2025-12-01,ETHEREUM,2992.8341859495977,0.053528903969479735,6.894000367910014,
2025-12-02,ETHEREUM,2799.0367919901605,-6.4753802555869715,-5.224305335169377,
2025-12-03,ETHEREUM,2995.751149322771,7.027930390037618,1.3774632793117858,
2025-12-04,ETHEREUM,3195.4089919085554,6.6647005253063,5.546920057751836,
2025-12-05,ETHEREUM,3133.698235618616,-1.9312318531431893,3.915836088564606,
2025-12-06,ETHEREUM,3022.6564205232035,-3.5434750491695644,-0.3454914687640587,
2025-12-07,ETHEREUM,3039.358573133242,0.5525653692108223,1.6088870790637033,
2025-12-08,ETHEREUM,3052.976330436545,0.44804707886982875,2.0095381417819747,
2025-12-09,ETHEREUM,3125.321462183988,2.36965911023288,11.65703398853266,
2025-12-10,ETHEREUM,3322.469217836626,6.308079282022727,10.906048340754658,
