date,symbol,price,Daily_Change_%,Weekly_Change_7d_%,Monthly_Change_30d_%
2025-11-10,GC=F,4111.7998046875,,,
2025-11-11,GC=F,4106.7998046875,-0.12160125097286922,,
2025-11-12,GC=F,4204.39990234375,2.3765487069725033,,
2025-11-13,GC=F,4186.89990234375,-0.4162306252134762,,
2025-11-14,GC=F,4087.60009765625,-2.371678497303309,,
2025-11-15,GC=F,4087.60009765625,0.0,,
2025-11-16,GC=F,4087.60009765625,0.0,,
2025-11-17,GC=F,4068.300048828125,-0.4721608857772397,-1.0579249459028772,
2025-11-18,GC=F,4061.300048828125,-0.17206203859069236,-1.107912681973,
2025-11-19,GC=F,4077.699951171875,0.40380917801141614,-3.0135085651877613,
2025-11-20,GC=F,4056.5,-0.5198997333235034,-3.11447384425777,
2025-11-21,GC=F,4076.699951171875,0.49796502334216175,-0.26666372012822404,
2025-11-22,GC=F,4076.699951171875,0.0,-0.26666372012822404,
2025-11-23,GC=F,4076.699951171875,0.0,-0.26666372012822404,
2025-11-24,GC=F,4091.89990234375,0.3728493966671742,0.5800912723343155,
2025-11-25,GC=F,4139.2001953125,1.155949414638835,1.918108624031678,
2025-11-26,GC=F,4165.2001953125,0.6281406738781081,2.1458235080655808,
2025-11-27,GC=F,4165.2001953125,0.0,2.679654759336869,
2025-11-28,GC=F,4218.2998046875,1.2748393086785548,3.47339404939333,
2025-11-29,GC=F,4218.2998046875,0.0,3.47339404939333,
2025-11-30,GC=F,4218.2998046875,0.0,3.47339404939333,
2025-12-01,GC=F,4239.2998046875,0.4978309027884764,3.6022362682753384,
2025-12-02,GC=F,4186.60009765625,-1.2431229084807538,1.145146407690767,
2025-12-03,GC=F,4199.2998046875,0.3033417745907929,0.818678761548508,
2025-12-04,GC=F,4211.7998046875,0.2976686729070144,1.1187843846603762,
2025-12-05,GC=F,4212.89990234375,0.02611941942316509,-0.1280113456551768,
2025-12-06,GC=F,4212.89990234375,0.0,-0.1280113456551768,
2025-12-07,GC=F,4212.89990234375,0.0,-0.1280113456551768,
2025-12-08,GC=F,4187.2001953125,-0.6100241550233032,-1.2289673242121713,
2025-12-09,GC=F,4206.7001953125,0.4657049840088856,0.48010550774846283,
2025-12-10,GC=F,4231.5,0.5895310703418755,0.7667991524814788,2.911138698339366
