date,symbol,forecast,ci_lower,ci_upper
2025-12-10,AAPL,277.30061456027914,272.92617258708026,281.675056533478
2025-12-11,AAPL,277.22869281994485,269.8079207067761,284.6494649331136
2025-12-12,AAPL,277.2715767191166,268.3074340738988,286.2357193643344
2025-12-13,AAPL,277.24600685943824,266.6740245441336,287.8179891747429
2025-12-14,AAPL,277.26125308789693,265.45246907337514,289.0700371024187
2025-12-15,AAPL,277.2521624051502,264.23970876366417,290.26461604663626
2025-12-16,AAPL,277.2575827957095,263.190561575048,291.324604016371
2025-12-17,AAPL,277.25435084552123,262.18048699630594,292.3282146947365
2025-12-18,AAPL,277.256277921053,261.25335857965786,293.2591972624482
2025-12-19,AAPL,277.2551288872224,260.36595433086734,294.1443034435774
2025-12-20,AAPL,277.25581400761445,259.5293183232692,294.9823096919597
2025-12-21,AAPL,277.25540549923187,258.72671919170295,295.7840918067608
2025-12-22,AAPL,277.2556490755442,257.9596222043642,296.55167594672423
2025-12-23,AAPL,277.2555038412664,257.2206257674234,297.2903819151093
2025-12-24,AAPL,277.2555904383384,256.50866282517455,298.00251805150225
2025-12-25,AAPL,277.25553880415816,255.81990949116093,298.69116811715537
2025-12-26,AAPL,277.25556959144126,255.15285641739024,299.3582827654923
2025-12-27,AAPL,277.25555123428336,254.50520813769313,300.00589433087356
2025-12-28,AAPL,277.2555621798821,253.87557852815087,300.6355458316133
2025-12-29,AAPL,277.2555556534834,253.26241612922956,301.2486951777372
2025-12-30,AAPL,277.25555954489954,252.66456712188244,301.84655196791664
2025-12-31,AAPL,277.2555572246123,252.08089465160418,302.4302197976204
2026-01-01,AAPL,277.2555586081017,251.51046145992083,303.0006557562826
2026-01-02,AAPL,277.25555778318534,250.95239031415784,303.55872525221287
2026-01-03,AAPL,277.25555827504814,250.405919706729,304.1051968433673
2026-01-04,AAPL,277.2555579817711,249.87034966082726,304.64076630271495
2026-01-05,AAPL,277.25555815663984,249.345055906266,305.1660604070137
2026-01-06,AAPL,277.255558052373,248.82946682858343,305.68164927616255
2026-01-07,AAPL,277.2555581145429,248.32306472790364,306.18805150118214
2026-01-08,AAPL,277.2555580774736,247.82537469594521,306.685741459002
