date,symbol,forecast,ci_lower,ci_upper
2025-12-10,^GSPC,6838.880989862618,6753.698483429119,6924.063496296117
2025-12-11,^GSPC,6837.786402352755,6711.418481850253,6964.154322855258
2025-12-12,^GSPC,6837.050805811833,6676.628149559791,6997.473462063875
2025-12-13,^GSPC,6836.556462265848,6646.177967933352,7026.934956598343
2025-12-14,^GSPC,6836.22424816768,6618.815883671433,7053.632612663928
2025-12-15,^GSPC,6836.000990055144,6593.841827426694,7078.160152683594
2025-12-16,^GSPC,6835.8509537228865,6570.793318632569,7100.908588813204
2025-12-17,^GSPC,6835.750124683612,6549.33675825728,7122.163491109944
2025-12-18,^GSPC,6835.682364461751,6529.219357896274,7142.145371027227
2025-12-19,^GSPC,6835.636827504345,6510.243727666419,7161.029927342272
2025-12-20,^GSPC,6835.6062252655565,6492.2525936326365,7178.959856898477
2025-12-21,^GSPC,6835.585659617955,6475.118752694035,7196.0525665418745
2025-12-22,^GSPC,6835.571838868949,6458.738067983873,7212.405609754025
2025-12-23,^GSPC,6835.562550899674,6443.024390243109,7228.100711556238
2025-12-24,^GSPC,6835.556309098073,6427.90577762626,7243.2068405698865
2025-12-25,^GSPC,6835.55211441503,6413.321629497637,7257.782599332422
2025-12-26,^GSPC,6835.549295458748,6399.220483050478,7271.878107867018
2025-12-27,^GSPC,6835.547401033249,6385.558300773608,7285.5365012928905
2025-12-28,^GSPC,6835.546127920929,6372.297127013173,7298.795128828686
2025-12-29,^GSPC,6835.545272350214,6359.404025358781,7311.686519341647
2025-12-30,^GSPC,6835.5446973803255,6346.850231744189,7324.239163016462
2025-12-31,^GSPC,6835.54431098284,6334.610474610197,7336.478147355483
2026-01-01,^GSPC,6835.544051311822,6322.662425403058,7348.425677220586
2026-01-02,^GSPC,6835.543876804894,6310.986251450055,7360.101502159734
2026-01-03,^GSPC,6835.543759530861,6299.564249773454,7371.523269288268
2026-01-04,^GSPC,6835.543680719096,6288.380545294815,7382.706816143377
2026-01-05,^GSPC,6835.543627755162,6277.420840578285,7393.666414932039
2026-01-06,^GSPC,6835.543592161765,6266.672207073685,7404.414977249846
2026-01-07,^GSPC,6835.543568241906,6256.122909972382,7414.964226511429
2026-01-08,^GSPC,6835.543552167023,6245.762260445079,7425.324843888968
