date,symbol,forecast,ci_lower,ci_upper
2025-12-10,MSFT,492.80637091556304,482.43668763535567,503.1760541957704
2025-12-11,MSFT,493.28578563741314,477.2746320923126,509.2969391825137
2025-12-12,MSFT,493.5780589908231,472.753904095954,514.4022138856922
2025-12-13,MSFT,493.7562423240003,468.66627438474313,518.8462102632575
2025-12-14,MSFT,493.86487111226216,464.9314273681167,522.7983148564076
2025-12-15,MSFT,493.931096237973,461.4945413795131,526.367651096433
2025-12-16,MSFT,493.97147013282716,458.31114847480546,529.6317917908489
2025-12-17,MSFT,493.9960839235629,455.344051311367,532.6481165357587
2025-12-18,MSFT,494.0110896270396,452.5621826600403,535.4599965940389
2025-12-19,MSFT,494.0202377968298,449.9397366059891,538.1007389876705
2025-12-20,MSFT,494.0258149435887,447.4553475659135,540.596282321264
2025-12-21,MSFT,494.0292150298009,445.09133217466433,542.9670978849375
2025-12-22,MSFT,494.031287879369,442.83302313182395,545.2295526269141
2025-12-23,MSFT,494.0325515841882,440.6682058276477,547.3968973407286
2025-12-24,MSFT,494.03332199700276,438.58665396467336,549.4799900293322
2025-12-25,MSFT,494.03379167623154,436.5797529683413,551.4878303841217
2025-12-26,MSFT,494.0340780143788,434.64019754151525,553.4279584872423
2025-12-27,MSFT,494.0342525793362,432.76174999066046,555.3067551680119
2025-12-28,MSFT,494.0343590021955,430.93904744469387,557.1296705596972
2025-12-29,MSFT,494.03442388248504,429.1674479666457,558.9013997983244
2025-12-30,MSFT,494.0344634365057,427.44290740643675,560.6260194665747
2025-12-31,MSFT,494.0344875504632,425.76188048080735,562.3070946201191
2026-01-01,MSFT,494.0345022514453,424.1212409390321,563.9477635638585
2026-01-02,MSFT,494.03451121384285,422.51821678599316,565.5508056416925
2026-01-03,MSFT,494.0345166777343,420.95033741817457,567.118695937294
2026-01-04,MSFT,494.03452000877485,419.4153902212067,568.653649796343
2026-01-05,MSFT,494.034522039531,417.9113847166878,570.1576593623741
2026-01-06,MSFT,494.0345232775737,416.436522763467,571.6325237916805
2026-01-07,MSFT,494.0345240323417,414.98917364123633,573.0798744234471
2026-01-08,MSFT,494.0345244924832,413.5678530936671,574.5011958912993
