date,symbol,price,Daily_Change_%,Weekly_Change_7d_%,Monthly_Change_30d_%
2025-11-10,^GSPC,6832.43017578125,,,
2025-11-11,^GSPC,6846.60986328125,0.2075350517340535,,
2025-11-12,^GSPC,6850.919921875,0.06295171887717999,,
2025-11-13,^GSPC,6737.490234375,-1.6556854961596978,,
2025-11-14,^GSPC,6734.10986328125,-0.05017255648851471,,
2025-11-15,^GSPC,6734.10986328125,0.0,,
2025-11-16,^GSPC,6734.10986328125,0.0,,
2025-11-17,^GSPC,6672.41015625,-0.9162266176807821,-2.3420659328282523,
2025-11-18,^GSPC,6617.31982421875,-0.8256436690967983,-3.3489572743467533,
2025-11-19,^GSPC,6642.16015625,0.37538357962292324,-3.0471785979927946,
2025-11-20,^GSPC,6538.759765625,-1.5567283563270418,-2.9496216222484106,
2025-11-21,^GSPC,6602.990234375,0.9823035415319481,-1.9470966700617653,
2025-11-22,^GSPC,6602.990234375,0.0,-1.9470966700617653,
2025-11-23,^GSPC,6602.990234375,0.0,-1.9470966700617653,
2025-11-24,^GSPC,6705.1201171875,1.5467217001293498,0.4902270719503221,
2025-11-25,^GSPC,6765.8798828125,0.9061696817220577,2.2450185655230825,
2025-11-26,^GSPC,6812.60986328125,0.6906711511012631,2.5661788186613244,
2025-11-27,^GSPC,6812.60986328125,0.0,4.1881045866818845,
2025-11-28,^GSPC,6849.08984375,0.5354773163420257,3.727093341647114,
2025-11-29,^GSPC,6849.08984375,0.0,3.727093341647114,
2025-11-30,^GSPC,6849.08984375,0.0,3.727093341647114,
2025-12-01,^GSPC,6812.6298828125,-0.5323329342915684,1.6033980562020878,
2025-12-02,^GSPC,6829.3701171875,0.24572352619998128,0.9383884354241312,
2025-12-03,^GSPC,6849.72021484375,0.29797912994984355,0.5447303207911203,
2025-12-04,^GSPC,6857.1201171875,0.10803218396737702,0.6533509888207778,
2025-12-05,^GSPC,6870.39990234375,0.1936641757662061,0.3111370865312324,
2025-12-06,^GSPC,6870.39990234375,0.0,0.3111370865312324,
2025-12-07,^GSPC,6870.39990234375,0.0,0.3111370865312324,
2025-12-08,^GSPC,6846.509765625,-0.3477255626794018,0.49730989933820524,
2025-12-09,^GSPC,6840.509765625,-0.08763589340257116,0.1631138486617445,
