date,symbol,price,Daily_Change_%,Weekly_Change_7d_%,Monthly_Change_30d_%
2025-11-11,BITCOIN,105909.07272321742,,,
2025-11-12,BITCOIN,102960.77564500563,-2.7838002943495366,,
2025-11-13,BITCOIN,101521.70859453591,-1.3976847410623883,,
2025-11-14,BITCOIN,99730.4533956204,-1.7644060799543393,,
2025-11-15,BITCOIN,94456.39368235336,-5.2883141845805,,
2025-11-16,BITCOIN,95508.31019889197,1.1136530578079062,,
2025-11-17,BITCOIN,94411.32947182968,-1.148570972282803,,
2025-11-18,BITCOIN,92036.7255045672,-2.515168444875049,-13.098355846155108,
2025-11-19,BITCOIN,92819.759215009,0.8507839736246803,-9.849397857064945,
2025-11-20,BITCOIN,91363.27838693369,-1.5691495435810277,-10.006165526797462,
2025-11-21,BITCOIN,86649.97257918229,-5.158862390850317,-13.115834101895828,
2025-11-22,BITCOIN,85051.8019295002,-1.8443983328692348,-9.956543317204957,
2025-11-23,BITCOIN,84682.62429147748,-0.4340621005640033,-11.33481043154304,
2025-11-24,BITCOIN,86783.84766839583,2.4812922302525076,-8.078989932781033,
2025-11-25,BITCOIN,88229.35740719768,1.6656437547286407,-4.1367922169075815,
2025-11-26,BITCOIN,87310.33159950442,-1.0416326659297148,-5.935619378997159,
2025-11-27,BITCOIN,90474.22677969698,3.6237351550850283,-0.9730951241389008,
2025-11-28,BITCOIN,91279.06057176425,0.8895724458933607,5.342284428713251,
2025-11-29,BITCOIN,90950.37695910994,-0.3600865418590615,6.935273440178369,
2025-11-30,BITCOIN,90841.45258193676,-0.11976242519825542,7.272835888104501,
2025-12-01,BITCOIN,90406.28448571144,-0.479041322938778,4.174091048782569,
2025-12-02,BITCOIN,86281.49519776918,-4.562502829760884,-2.2077257124731076,
2025-12-03,BITCOIN,91344.73275150164,5.868277481894357,4.6207603133420205,
2025-12-04,BITCOIN,93619.43750817105,2.4902418433448315,3.4763609929848727,
2025-12-05,BITCOIN,92140.70419795792,-1.5795152690209924,0.9439663607364146,
2025-12-06,BITCOIN,89307.09154512963,-3.075310393483066,-1.806793406385887,
2025-12-07,BITCOIN,89244.7620814118,-0.069792289323789,-1.7576672930067705,
2025-12-08,BITCOIN,90162.90714007126,1.0287943373325392,-0.2692040127792783,
2025-12-09,BITCOIN,90618.0535204608,0.5048044643042093,5.026058383378307,
2025-12-10,BITCOIN,92723.21372069632,2.323113461888915,1.5090973805186758,
