date,symbol,price,Daily_Change_%,Weekly_Change_7d_%,Monthly_Change_30d_%
2025-11-11,SOLANA,167.54840917926455,,,
2025-11-12,SOLANA,154.34628754698477,-7.8795863816018,,
2025-11-13,SOLANA,153.19515043362588,-0.7458145781501058,,
2025-11-14,SOLANA,145.15580784802805,-5.247778772919453,,
2025-11-15,SOLANA,139.00276447047776,-4.238923311971277,,
2025-11-16,SOLANA,139.59145707175173,0.42351143411900605,,
2025-11-17,SOLANA,137.4975729739525,-1.5000087696791953,,
2025-11-18,SOLANA,130.68858764032888,-4.952076743138956,-21.99950552768207,
2025-11-19,SOLANA,140.60155456478054,7.585181769454397,-8.905127036515326,
2025-11-20,SOLANA,136.43470513687834,-2.96358702490902,-10.94058477001807,
2025-11-21,SOLANA,133.60337500165332,-2.075227217579634,-7.958643210797067,
2025-11-22,SOLANA,128.48401421465474,-3.831760078617197,-7.567295726738632,
2025-11-23,SOLANA,127.62806806856854,-0.666188826149372,-8.57028736152089,
2025-11-24,SOLANA,130.84897517738048,2.5236667431818294,-4.835429202689645,
2025-11-25,SOLANA,138.3677130507636,5.746119037761366,5.875895936352626,
2025-11-26,SOLANA,139.0062092062614,0.4614488029180297,-1.1346569840265275,
2025-11-27,SOLANA,142.92252259467037,2.817365793061688,4.755254501619022,
2025-11-28,SOLANA,140.8298940142595,-1.4641699169735345,5.4089344767800585,
2025-11-29,SOLANA,137.46833804153275,-2.3869619417496657,6.99256158969952,
2025-11-30,SOLANA,136.08875145366935,-1.0035667903736445,6.629171398688949,
2025-12-01,SOLANA,134.57716421907872,-1.1107363528904401,2.8492306008849333,
2025-12-02,SOLANA,126.74719818442522,-5.818198117109286,-8.398284982910075,
2025-12-03,SOLANA,138.68381774415911,9.417659507049114,-0.23192594341155948,
2025-12-04,SOLANA,145.03241215787318,4.577747077475047,1.476247077716697,
2025-12-05,SOLANA,139.0035856702843,-4.1568821740524236,-1.2968186596734044,
2025-12-06,SOLANA,133.19940782316152,-4.175559802385431,-3.1053915972138024,
2025-12-07,SOLANA,132.21332316930986,-0.7403070854194893,-2.847721242911727,
2025-12-08,SOLANA,131.63667798299971,-0.43614756250526243,-2.184981570344413,
2025-12-09,SOLANA,133.2876975493966,1.2542245760790882,5.1602713579944615,
2025-12-10,SOLANA,138.01268988378362,3.5449575776758557,-0.4839265829943984,
