date,symbol,forecast,ci_lower,ci_upper
2025-12-11,ETHEREUM,3351.5020745245984,3140.515313114249,3562.488835934948
2025-12-12,ETHEREUM,3341.59357302892,3014.0521372890735,3669.135008768767
2025-12-13,ETHEREUM,3344.9752038117613,2940.6604674389314,3749.289940184591
2025-12-14,ETHEREUM,3343.821101270984,2872.7983268498065,3814.8438756921614
2025-12-15,ETHEREUM,3344.2149800709367,2815.54004700842,3872.8899131334533
2025-12-16,ETHEREUM,3344.0805548326493,2763.227887088557,3924.9332225767416
2025-12-17,ETHEREUM,3344.126432256595,2715.4815610873284,3972.7713034258613
2025-12-18,ETHEREUM,3344.110774943618,2671.0364990496755,4017.18505083756
2025-12-19,ETHEREUM,3344.1161185620817,2629.3760751372597,4058.8561619869038
2025-12-20,ETHEREUM,3344.114294861021,2590.0047674757734,4098.223822246268
2025-12-21,ETHEREUM,3344.114917264282,2552.592438668976,4135.637395859589
2025-12-22,ETHEREUM,3344.114704846892,2516.8693381548087,4171.360071538976
2025-12-23,ETHEREUM,3344.1147773419293,2482.626634567252,4205.602920116607
2025-12-24,ETHEREUM,3344.114752600403,2449.69382760821,4238.535677592596
2025-12-25,ETHEREUM,3344.114761044334,2417.9313311681817,4270.298190920486
2025-12-26,ETHEREUM,3344.11475816254,2387.2225458301327,4301.006970494947
2025-12-27,ETHEREUM,3344.1147591460553,2357.469096114147,4330.760422177964
2025-12-28,ETHEREUM,3344.1147588103954,2328.5870027242886,4359.642514896503
2025-12-29,ETHEREUM,3344.1147589249513,2300.5039204592968,4387.725597390606
2025-12-30,ETHEREUM,3344.114758885855,2273.1569908017245,4415.072526969985
2025-12-31,ETHEREUM,3344.114758899198,2246.4911896137705,4441.738328184625
2026-01-01,ETHEREUM,3344.114758894644,2220.458023636601,4467.771494152687
2026-01-02,ETHEREUM,3344.1147588961985,2195.0144945468846,4493.215023245512
2026-01-03,ETHEREUM,3344.1147588956683,2170.122264726485,4518.107253064852
2026-01-04,ETHEREUM,3344.1147588958493,2145.746979287623,4542.482538504075
2026-01-05,ETHEREUM,3344.1147588957874,2121.857709809615,4566.37180798196
2026-01-06,ETHEREUM,3344.1147588958083,2098.42649416884,4589.803023622777
2026-01-07,ETHEREUM,3344.114758895801,2075.427952896721,4612.801564894881
2026-01-08,ETHEREUM,3344.1147588958033,2052.8389670706006,4635.390550721006
2026-01-09,ETHEREUM,3344.1147588958024,2030.6384060856492,4657.591111705956
