date,symbol,forecast,ci_lower,ci_upper
2025-12-11,SOLANA,138.30553020090352,127.27947190791865,149.3315884938884
2025-12-12,SOLANA,138.20521717666304,122.0171742342479,154.39326011907818
2025-12-13,SOLANA,138.23957959960822,118.34229702171285,158.1368621775036
2025-12-14,SOLANA,138.22780868431977,115.16259829445357,161.29301907418596
2025-12-15,SOLANA,138.2318408344085,112.39906834213947,164.06461332667752
2025-12-16,SOLANA,138.2304596134975,109.8945251507407,166.56639407625426
2025-12-17,SOLANA,138.23093275342606,107.59716906857423,168.8646964382779
2025-12-18,SOLANA,138.23077067841675,105.45942867286513,171.00211268396836
2025-12-19,SOLANA,138.23082619752867,103.45319562846274,173.0084567665946
2025-12-20,SOLANA,138.23080717934815,101.5564296568337,174.9051847018626
2025-12-21,SOLANA,138.23081369406313,99.75309162191431,176.70853576621195
2025-12-22,SOLANA,138.23081146243476,98.03055458432314,178.43106834054637
2025-12-23,SOLANA,138.23081222688344,96.37885810696122,180.08276634680567
2025-12-24,SOLANA,138.23081196502005,94.78991505359409,181.67170887644602
2025-12-25,SOLANA,138.23081205472187,93.25707562913496,183.20454848030877
2025-12-26,SOLANA,138.23081202399433,91.77478531506813,184.68683873292053
2025-12-27,SOLANA,138.2308120345201,90.33835057069459,186.12327349834564
2025-12-28,SOLANA,138.23081203091448,88.94376187330118,187.51786218852777
2025-12-29,SOLANA,138.2308120321496,87.58756212480972,188.87406193948948
2025-12-30,SOLANA,138.23081203172651,86.266745512673,190.19487855078003
2025-12-31,SOLANA,138.23081203187144,84.97867914324284,191.48294492050002
2026-01-01,SOLANA,138.23081203182178,83.72104130042702,192.74058276321654
2026-01-02,SOLANA,138.23081203183878,82.491772273452,193.96985179022556
2026-01-03,SOLANA,138.23081203183295,81.28903473970814,195.17258932395777
2026-01-04,SOLANA,138.23081203183494,80.11118153417542,196.35044252949447
2026-01-05,SOLANA,138.23081203183426,78.95672918626725,197.50489487740128
2026-01-06,SOLANA,138.2308120318345,77.82433601161159,198.6372880520574
2026-01-07,SOLANA,138.2308120318344,76.7127838353748,199.748840228294
2026-01-08,SOLANA,138.23081203183443,75.62096263751764,200.84066142615123
2026-01-09,SOLANA,138.23081203183443,74.54785756851149,201.91376649515738
